Date,Year,Quarter,Quarter (Q),Quarter & Year,Month,Month Name,Month & Year,Week of Year,Week of Year (W),Day of Week,Day Name
2016-01-02,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,1,Week 1,6,Saturday
2016-01-03,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,1,Week 1,7,Sunday
2016-01-04,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,1,Monday
2016-01-05,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,2,Tuesday
2016-01-06,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,3,Wednesday
2016-01-07,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,4,Thursday
2016-01-08,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,5,Friday
2016-01-09,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,6,Saturday
2016-01-10,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,7,Sunday
2016-01-11,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,1,Monday
2016-01-12,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,2,Tuesday
2016-01-13,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,3,Wednesday
2016-01-14,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,4,Thursday
2016-01-15,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,5,Friday
2016-01-16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,6,Saturday
2016-01-17,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,7,Sunday
2016-01-18,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,1,Monday
2016-01-19,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,2,Tuesday
2016-01-20,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,3,Wednesday
2016-01-21,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,4,Thursday
2016-01-22,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,5,Friday
2016-01-23,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,6,Saturday
2016-01-24,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,7,Sunday
2016-01-25,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,1,Monday
2016-01-26,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,2,Tuesday
2016-01-27,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,3,Wednesday
2016-01-28,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,4,Thursday
2016-01-29,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,5,Friday
2016-01-30,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,6,Saturday
2016-01-31,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,7,Sunday
2016-02-01,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,1,Monday
2016-02-02,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,2,Tuesday
2016-02-03,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,3,Wednesday
2016-02-04,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,4,Thursday
